state,state_code,county,county_code
Alabama,01,Autauga County,001
Alabama,01,Baldwin County,003
Alabama,01,Barbour County,005
Alabama,01,Bibb County,007
Alabama,01,Blount County,009
Alabama,01,Bullock County,011
Alabama,01,Butler County,013
Alabama,01,Calhoun County,015
Alabama,01,Chambers County,017
Alabama,01,Cherokee County,019
Alabama,01,Chilton County,021
Alabama,01,Choctaw County,023
Alabama,01,Clarke County,025
Alabama,01,Clay County,027
Alabama,01,Cleburne County,029
Alabama,01,Coffee County,031
Alabama,01,Colbert County,033
Alabama,01,Conecuh County,035
Alabama,01,Coosa County,037
Alabama,01,Covington County,039
Alabama,01,Crenshaw County,041
Alabama,01,Cullman County,043
Alabama,01,Dale County,045
Alabama,01,Dallas County,047
Alabama,01,DeKalb County,049
Alabama,01,Elmore County,051
Alabama,01,Escambia County,053
Alabama,01,Etowah County,055
Alabama,01,Fayette County,057
Alabama,01,Franklin County,059
Alabama,01,Geneva County,061
Alabama,01,Greene County,063
Alabama,01,Hale County,065
Alabama,01,Henry County,067
Alabama,01,Houston County,069
Alabama,01,Jackson County,071
Alabama,01,Jefferson County,073
Alabama,01,Lamar County,075
Alabama,01,Lauderdale County,077
Alabama,01,Lawrence County,079
Alabama,01,Lee County,081
Alabama,01,Limestone County,083
Alabama,01,Lowndes County,085
Alabama,01,Macon County,087
Alabama,01,Madison County,089
Alabama,01,Marengo County,091
Alabama,01,Marion County,093
Alabama,01,Marshall County,095
Alabama,01,Mobile County,097
Alabama,01,Monroe County,099
Alabama,01,Montgomery County,101
Alabama,01,Morgan County,103
Alabama,01,Perry County,105
Alabama,01,Pickens County,107
Alabama,01,Pike County,109
Alabama,01,Randolph County,111
Alabama,01,Russell County,113
Alabama,01,St. Clair County,115
Alabama,01,Shelby County,117
Alabama,01,Sumter County,119
Alabama,01,Talladega County,121
Alabama,01,Tallapoosa County,123
Alabama,01,Tuscaloosa County,125
Alabama,01,Walker County,127
Alabama,01,Washington County,129
Alabama,01,Wilcox County,131
Alabama,01,Winston County,133
Alaska,02,Aleutians East Borough,013
Alaska,02,Aleutians West Census Area,016
Alaska,02,Anchorage Municipality,020
Alaska,02,Bethel Census Area,050
Alaska,02,Bristol Bay Borough,060
Alaska,02,Chugach Census Area,063
Alaska,02,Copper River Census Area,066
Alaska,02,Denali Borough,068
Alaska,02,Dillingham Census Area,070
Alaska,02,Fairbanks North Star Borough,090
Alaska,02,Haines Borough,100
Alaska,02,Hoonah-Angoon Census Area,105
Alaska,02,Juneau City and Borough,110
Alaska,02,Kenai Peninsula Borough,122
Alaska,02,Ketchikan Gateway Borough,130
Alaska,02,Kodiak Island Borough,150
Alaska,02,Kusilvak Census Area,158
Alaska,02,Lake and Peninsula Borough,164
Alaska,02,Matanuska-Susitna Borough,170
Alaska,02,Nome Census Area,180
